"CustomerID","Age","PlanType","MonthlyBill","HoursWatched_Last30d","SignupDate","CustomerCode","LastSupportTicket"
"80-DNT","48","Basico","14.83","39.0","8/17/2021","80-DNT","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
"32-HZO","50","Estandar","","90.8","2/19/2023","32-HZO","Problema con reproducciÃ³n de video. Se requiere seguimiento urgente."
"122-CBM","42","Estandar","27.27","86.8","3/8/2024","122-CBM","PROBLEMA DE CONEXION A INTERNET"
"57-UJX","75","Basico","14.28","32.7","7/20/2025","57-UJX","OK"
"61-EBA","67","Basico","12.9","19.3","12/4/2021","61-EBA","ERROR EN SISTEMA DE RECOMENDACIONES. El problema persiste desde hace varios dÃ­as."
"50-LOQ","71","premium","52.13","99.9","3/1/2024","50-LOQ","Queja sobre atencion al cliente. El problema persiste desde hace varios dÃ­as."
"128-OLP","44","Premium","68.1","83.1","9/8/2024","128-OLP","queja sobre atencion al cliente"
"44-MQX","38","Basico","16.34","29.7","5/18/2025","44-MQX","Problema con subtÃ­tulos"
"73-RKT","70","Basico","","20.1","03/28/2025","73-RKT","Problema con subtÃ­tulos. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"92-QML","42","Basico","11.3","21.5","12/13/2020","92-QML","ERROR EN LA APLICACION MOVIL"
"79-OOC","53","Prem","63.83","94.1","3/22/2021","79-OOC","Solicitud de cancelaciÃ³n de servicio"
"37-JXN","53","Premium","58.28","174.8","7/25/2023","37-JXN","CONSULTA TECNICA GENERAL. Problema resuelto en primera instancia."
"125-WLM","55","Basico","13.76","47.3","1/5/2021","125-WLM","OK"
"121-SVK","39","Estandar","39.7","64.7","9/6/2025","121-SVK","OK"
"116-ADW","63","PREM","","173.8","5/27/2024","116-ADW","Problema con subtÃ­tulos"
"81-QXM","47","Estandar","28.51","77.9","11/4/2024","81-QXM","error en la aplicacion movil"
"76-XBU","50","Basico","11.45","31.2","9/18/2022","76-XBU","CONSULTA SOBRE FACTURACIÃ“N. Cliente insatisfecho con la respuesta anterior."
"36-GQL","85","Estandar","31.97","50.1","10/28/2022","36-GQL","Error en sistema de recomendaciones. Cliente insatisfecho con la respuesta anterior."
"77-FKM","24","Basico","15.74","49.7","3/26/2024","77-FKM","PROBLEMA CON SUBTÃTULOS. Problema resuelto en primera instancia."
"127-VXU","72","Basico","12.18","17.6","6/25/2024","127-VXU","Consulta sobre facturacion"
"93-TCH","61","estandar","26.97","67.8","11/2/2023","93-TCH","Solicitud de cancelaciÃ³n de servicio"
"86-UMB","44","estandar","35.13","77.2","08/30/2023","86-UMB","Consulta tecnica general. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"67-PVY","68","Basico","10.24","45.4","9/28/2022","67-PVY","QUEJA SOBRE ATENCIÃ“N AL CLIENTE. Cliente insatisfecho con la respuesta anterior."
"104-DBA","92","Prem","","108.2","11/16/2022","104-DBA","Error en sistema de recomendaciones"
"39-XRV","39","Estandar","29.19","78.3","9/2/2024","39-XRV","problema de conexion a internet"
"91-BHZ","50","premium","52.74","105.5","4/21/2022","91-BHZ","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO. Se requiere seguimiento urgente."
"53-PVG","63","Estandar","33.93","49.4","01/28/2025","53-PVG","CONSULTA TECNICA GENERAL. Problema resuelto en primera instancia."
"91-UGI","60","Basico","","39.7","12/9/2022","91-UGI","Error en la aplicacion movil. El cliente reporta intermitencia en el servicio."
"11-SXR","90","Basico","10.3","49.9","2/19/2021","11-SXR","Error en la aplicacion movil. El cliente reporta intermitencia en el servicio."
"32-HQO","58","Basico","15.3","28.1","6/30/2022","32-HQO","Error en la aplicacion movil"
"115-XKV","47","Basico","13.12","22.5","6/16/2024","115-XKV","OK"
"24-TJD","96","Basico","15.61","36.8","8/2/2023","24-TJD","Problema con subtÃ­tulos"
"129-FRF","36","Basico","13.67","40.5","9/2/2022","129-FRF","Problema con subtÃ­tulos"
"6-PRS","80","Basico","17.61","46.9","12/3/2023","6-PRS","Consulta sobre facturacion. Problema resuelto en primera instancia."
"55-JLE","35","Basico","19.4","33.8","12/7/2020","55-JLE","consulta sobre facturacion. Cliente insatisfecho con la respuesta anterior."
"113-KFN","41","Basico","","37.1","7/25/2022","113-KFN","OK"
"52-HFD","37","Basico","10.07","39.9","11/26/2024","52-HFD","Consulta tecnica general"
"10-LLC","44","Basico","14.03","35.6","4/7/2024","10-LLC","problema con reproducciÃ³n de video"
"92-CVG","52","Estandar","30.93","51.7","12/26/2023","92-CVG","CONSULTA SOBRE FACTURACIÃ“N"
"89-JYQ","16","Basico","","20.2","11/30/2024","89-JYQ","ERROR EN LA APLICACION MOVIL"
"114-RWQ","49","Prem","79.12","117.9","6/4/2023","114-RWQ","Error en sistema de recomendaciones. El problema persiste desde hace varios dÃ­as."
"115-AJH","51","Estandar","26.34","71.6","9/25/2023","115-AJH","Consulta tecnica general. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"121-NYL","35","Premium","79.46","90.1","4/7/2022","121-NYL","Problema de conexion a internet. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"72-KUR","17","Basico","13.34","23.2","10/5/2022","72-KUR","SOLICITUD DE CANCELACIÃ“N DE SERVICIO"
"38-IPD","57","Basico","16.97","25.7","7/21/2022","38-IPD","Error en la aplicacion movil"
"23-QLJ","72","Basico","12.13","47.9","3/1/2023","23-QLJ","CONSULTA SOBRE FACTURACIÃ“N. El cliente reporta intermitencia en el servicio."
"9-RWQ","44","Estandar","27.7","78.5","21-May-22","9-RWQ","consulta sobre facturacion. Problema resuelto en primera instancia."
"72-TUG","111","Basico","17.83","46.2","10/19/2024","72-TUG","Queja sobre atencion al cliente. Cliente insatisfecho con la respuesta anterior."
"41-VUD","28","Basico","18.73","32.2","4/24/2025","41-VUD","Consulta tecnica general"
"37-VCX","6","Premium","77.9","129.8","9/1/2023","37-VCX","problema de conexion a internet. El problema persiste desde hace varios dÃ­as."
"85-UDH","86","Premium","54.15","164.7","5/17/2023","85-UDH","ERROR EN LA APLICACION MOVIL. Se requiere seguimiento urgente."
"108-CHH","33","Basico","17.93","28.3","7-Apr-25","108-CHH","error en sistema de recomendaciones. Se requiere seguimiento urgente."
"0-PGK","31","Estandar","","98.2","5/7/2025","0-PGK","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
"99-ZGA","90","Estandar","35.98","74.0","7/24/2021","99-ZGA","CONSULTA SOBRE CONTENIDO DISPONIBLE. El problema persiste desde hace varios dÃ­as."
"118-ZME","40","Basico","19.43","11.5","10/4/2024","118-ZME","Problema de conexion a internet. Cliente insatisfecho con la respuesta anterior."
"64-AQH","15","Premium","","158.7","5/10/2024","64-AQH","Consulta sobre contenido disponible. Cliente insatisfecho con la respuesta anterior."
"127-JUG","31","Basico","14.3","49.8","11/16/2024","127-JUG","CONSULTA SOBRE CONTENIDO DISPONIBLE. El problema persiste desde hace varios dÃ­as."
"109-ELL","48","Estandar","34.21","60.4","04/21/2022","109-ELL","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO"
"40-YDP","68","Estandar","","34.7","7/10/2021","40-YDP","Consulta sobre contenido disponible"
"95-LBD","60","Basico","12.78","48.4","9/28/2025","95-LBD","Error en sistema de recomendaciones. El problema persiste desde hace varios dÃ­as."
"73-SZF","77","Basico","","16.9","11/21/2021","73-SZF","Error en la aplicacion movil"
"74-XWS","46","premium","73.8","141.1","03/17/2025","74-XWS","CONSULTA SOBRE FACTURACIÃ“N. El problema persiste desde hace varios dÃ­as."
"33-PCI","89","Prem","65.76","172.3","4/9/2021","33-PCI","Consulta sobre facturacion. Problema resuelto en primera instancia."
"46-TDN","130","Premium","65.53","116.5","12/24/2024","46-TDN","Problema de conexion a internet"
"70-DHN","74","Estandar","39.11","40.8","3/12/2022","70-DHN","OK"
"67-QTK","56","Estandar","34.4","50.3","3/12/2024","67-QTK","PROBLEMA CON SUBTÃTULOS. El cliente reporta intermitencia en el servicio."
"118-FPI","49","Estandar","37.9","98.3","2/26/2025","118-FPI","Consulta tecnica general. El problema persiste desde hace varios dÃ­as."
"12-HJP","17","Basico","11.59","23.1","8/25/2022","12-HJP","Problema de conexion a internet. Cliente insatisfecho con la respuesta anterior."
"23-YNZ","22","Basico","10.5","29.8","9-Dec-20","23-YNZ","ERROR EN SISTEMA DE RECOMENDACIONES. El cliente reporta intermitencia en el servicio."
"93-TJK","42","Estandar","33.29","35.1","1/23/2023","93-TJK","CONSULTA TECNICA GENERAL"
"24-KUI","82","premium","55.96","141.1","1/31/2023","24-KUI","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO. Cliente insatisfecho con la respuesta anterior."
"35-IPE","14","Prem","58.97","120.4","3/30/2021","35-IPE","Error en sistema de recomendaciones"
"106-PUS","85","Estandar","","63.2","3/19/2022","106-PUS","Queja sobre atencion al cliente. Se requiere seguimiento urgente."
"97-DRA","31","premium","","82.3","2/17/2024","97-DRA","Problema con subtÃ­tulos"
"15-SNO","44","Prem","61.29","194.8","24-Apr-23","15-SNO","Consulta sobre contenido disponible"
"67-PEG","20","Estandar","39.58","50.8","4/8/2024","67-PEG","Error en sistema de recomendaciones"
"31-OOX","15","Basico","17.72","15.9","8/26/2025","31-OOX","Error en la aplicacion movil. Cliente insatisfecho con la respuesta anterior."
"69-YSD","35","Estandar","28.63","76.9","11/29/2022","69-YSD","PROBLEMA DE CONEXION A INTERNET. Problema resuelto en primera instancia."
"35-AOY","88","Basico","18.77","29.1","10/8/2024","35-AOY","OK"
"59-NSY","64","premium","76.46","101.1","7/9/2025","59-NSY","problema con subtÃ­tulos"
"9-AOC","71","Prem","79.66","145.2","13-Feb-23","9-AOC","Consulta sobre facturacion. El cliente reporta intermitencia en el servicio."
"65-SAI","21","Basico","11.92","34.4","22-Apr-22","65-SAI","problema con subtÃ­tulos"
"82-YAJ","47","Basico","13.29","33.3","9/4/2022","82-YAJ","consulta sobre contenido disponible. El problema persiste desde hace varios dÃ­as."
"79-RQY","63","Basico","19.56","29.1","5/4/2023","79-RQY","Queja sobre atencion al cliente"
"55-TRP","86","Estandar","32.91","55.3","9/22/2022","55-TRP","Consulta tecnica general. Se requiere seguimiento urgente."
"29-RSM","99","Premium","51.66","95.8","7/24/2023","29-RSM","Problema con reproducciÃ³n de video. El cliente reporta intermitencia en el servicio."
"55-PBI","29","Basico","19.34","12.8","3/30/2023","55-PBI","PROBLEMA CON SUBTÃTULOS. Problema resuelto en primera instancia."
"107-JXL","58","premium","52.4","195.7","12/25/2020","107-JXL","CONSULTA SOBRE CONTENIDO DISPONIBLE"
"57-VTZ","82","Basico","14.23","25.2","8/7/2024","57-VTZ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
"107-PYX","32","Basico","","33.8","5/21/2023","107-PYX","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO. Cliente insatisfecho con la respuesta anterior."
"14-DZG","56","premium","67.31","172.7","4/19/2021","14-DZG","Solicitud de cancelaciÃ³n de servicio. Cliente insatisfecho con la respuesta anterior."
"44-QLM","59","PREM","70.13","174.3","2/7/2024","44-QLM","PROBLEMA CON SUBTÃTULOS. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"76-WDM","54","Basico","14.16","31.2","9/17/2023","76-WDM","OK"
"48-BJP","53","Basico","","42.2","8/5/2022","48-BJP","CONSULTA TECNICA GENERAL. El problema persiste desde hace varios dÃ­as."
"54-YZD","52","Prem","57.27","152.5","9/28/2024","54-YZD","Problema de conexion a internet. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"92-NMC","7","Prem","75.18","189.7","10/23/2023","92-NMC","Problema con reproducciÃ³n de video. El problema persiste desde hace varios dÃ­as."
"106-HFF","84","Estandar","33.25","96.0","12/30/2023","106-HFF","Error en sistema de recomendaciones. Se requiere seguimiento urgente."
"35-SMX","72","Estandar","25.87","32.4","2/20/2021","35-SMX","Problema con reproducciÃ³n de video"
"2-FLB","65","Estandar","38.68","76.1","10/19/2025","2-FLB","consulta tecnica general"
"128-VRU","43","premium","","91.6","1/20/2025","128-VRU","OK"
"103-LGS","68","Basico","10.8","49.7","3/31/2022","103-LGS","OK"
"43-CVQ","40","Basico","19.73","45.8","8/25/2025","43-CVQ","queja sobre atencion al cliente. El problema persiste desde hace varios dÃ­as."
"8-EWA","0","Basico","","42.8","4/14/2021","8-EWA","ERROR EN LA APLICACION MOVIL. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"84-JTU","76","Estandar","","82.2","12/13/2023","84-JTU","PROBLEMA CON SUBTÃTULOS. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"101-ZIQ","60","Estandar","28.41","68.7","10/14/2023","101-ZIQ","queja sobre atencion al cliente"
"21-GJU","73","Basico","13.6","13.7","2/28/2024","21-GJU","SOLICITUD DE CANCELACIÃ“N DE SERVICIO. Cliente insatisfecho con la respuesta anterior."
"104-CCO","18","Estandar","37.95","30.9","7/27/2023","104-CCO","Error en la aplicacion movil"
"97-EGG","44","Basico","12.75","22.0","7/2/2021","97-EGG","Solicitud de cancelaciÃ³n de servicio. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"77-AKV","82","Basico","14.39","27.2","9-Apr-21","77-AKV","QUEJA SOBRE ATENCIÃ“N AL CLIENTE. Problema resuelto en primera instancia."
"101-ZHS","65","Estandar","28.63","56.3","4/23/2021","101-ZHS","CONSULTA SOBRE CONTENIDO DISPONIBLE. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"6-YMS","71","Basico","16.92","42.8","6/5/2021","6-YMS","ERROR EN SISTEMA DE RECOMENDACIONES. El problema persiste desde hace varios dÃ­as."
"96-BZM","39","Basico","19.19","37.7","11/3/2022","96-BZM","Consulta sobre contenido disponible. El cliente reporta intermitencia en el servicio."
"90-EPO","65","Estandar","39.49","53.2","6/4/2021","90-EPO","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO. Problema resuelto en primera instancia."
"56-LKU","29","Estandar","30.16","31.7","4/20/2025","56-LKU","ERROR EN LA APLICACION MOVIL"
"116-UNJ","52","Basico","14.51","12.7","21-Aug-25","116-UNJ","ERROR EN LA APLICACION MOVIL. El cliente reporta intermitencia en el servicio."
"62-NOI","52","Basico","17.97","35.2","11/4/2024","62-NOI","Problema con subtÃ­tulos"
"1-SFT","74","Premium","","92.2","12/31/2020","1-SFT","Consulta sobre contenido disponible. Cliente insatisfecho con la respuesta anterior."
"99-PPJ","47","Premium","74.4","164.7","21-Mar-24","99-PPJ","QUEJA SOBRE ATENCIÃ“N AL CLIENTE. El cliente reporta intermitencia en el servicio."
"95-SNK","43","Basico","11.85","35.4","31-Dec-21","95-SNK","Consulta sobre facturacion. El problema persiste desde hace varios dÃ­as."
"91-YMF","81","Basico","16.52","26.4","2/17/2023","91-YMF","error en sistema de recomendaciones. Se requiere seguimiento urgente."
"73-ELT","72","estandar","26.69","38.0","7/17/2021","73-ELT","Consulta sobre contenido disponible"
"108-CVT","93","Basico","14.49","23.9","4/23/2021","108-CVT","Error en la aplicacion movil"
"109-EDF","42","Basico","","24.0","4/24/2024","109-EDF","Consulta sobre facturacion. El problema persiste desde hace varios dÃ­as."
"24-DTK","94","Basico","16.55","38.1","2/22/2025","24-DTK","Consulta sobre contenido disponible"
"68-QJB","49","Estandar","31.03","82.5","29-Dec-21","68-QJB","OK"
"117-QSW","78","Estandar","39.51","87.7","2/11/2023","117-QSW","Solicitud de cancelaciÃ³n de servicio. Cliente insatisfecho con la respuesta anterior."
"12-BQV","32","Basico","11.57","28.3","6/28/2023","12-BQV","Consulta sobre facturacion"
"92-GJX","26","Basico","13.05","38.0","7/29/2024","92-GJX","error en la aplicacion movil. Se requiere seguimiento urgente."
"113-ASV","38","Prem","53.96","88.5","9/28/2023","113-ASV","ERROR EN LA APLICACION MOVIL. El problema persiste desde hace varios dÃ­as."
"34-QRB","42","Estandar","27.45","54.6","9/10/2024","34-QRB","OK"
"25-DDS","63","Basico","17.9","19.9","4/10/2022","25-DDS","OK"
"77-FPE","36","Basico","17.83","41.8","7/18/2024","77-FPE","OK"
"3-ZYD","65","Premium","60.95","162.0","8/11/2021","3-ZYD","ERROR EN LA APLICACION MOVIL. El problema persiste desde hace varios dÃ­as."
"101-NQN","23","Basico","10.81","31.5","6/8/2022","101-NQN","Error en la aplicacion movil. Se requiere seguimiento urgente."
"16-ILY","55","Basico","19.24","14.6","6/16/2022","16-ILY","Solicitud de cancelaciÃ³n de servicio. El cliente reporta intermitencia en el servicio."
"41-MJN","38","Premium","61.15","170.0","12/28/2020","41-MJN","error en la aplicacion movil"
"19-MNB","62","Premium","54.71","172.8","9/2/2022","19-MNB","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
"11-MJD","36","premium","66.58","189.7","9/26/2021","11-MJD","Problema de conexion a internet"
"95-DRB","45","Basico","10.45","26.0","12/20/2020","95-DRB","OK"
"51-HUT","35","Basico","19.71","49.9","7/15/2021","51-HUT","OK"
"88-QSA","67","Basico","13.75","39.5","3/1/2024","88-QSA","Consulta tecnica general"
"71-CXX","40","Estandar","30.58","98.2","5/31/2025","71-CXX","OK"
"15-LZG","54","Basico","18.0","38.0","10/6/2021","15-LZG","ERROR EN SISTEMA DE RECOMENDACIONES. Se requiere seguimiento urgente."
"27-EEM","69","Basico","19.64","18.3","2/28/2024","27-EEM","ERROR EN LA APLICACION MOVIL"
"10-FWD","85","Estandar","30.93","33.4","3/18/2024","10-FWD","CONSULTA SOBRE FACTURACIÃ“N. Cliente insatisfecho con la respuesta anterior."
"24-MUD","47","Basico","19.82","15.2","4/9/2021","24-MUD","OK"
"16-FQV","18","Basico","18.08","14.9","4/21/2023","16-FQV","Queja sobre atencion al cliente. Cliente insatisfecho con la respuesta anterior."
"54-XHL","68","Basico","16.16","35.9","2/3/2023","54-XHL","consulta tecnica general. Cliente insatisfecho con la respuesta anterior."
"63-QUU","62","Prem","60.76","145.3","3/4/2023","63-QUU","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
"71-BZN","84","estandar","39.6","37.0","3/16/2022","71-BZN","Consulta tecnica general. Se requiere seguimiento urgente."
"99-JVV","46","Basico","18.05","37.9","7/28/2022","99-JVV","Consulta sobre contenido disponible. Se requiere seguimiento urgente."
"126-OEA","37","Basico","10.19","29.1","11-Jan-24","126-OEA","OK"
"37-PXU","93","Premium","78.81","124.8","3/5/2022","37-PXU","Error en la aplicacion movil"
"124-QEZ","71","Estandar","36.79","45.6","2-Aug-22","124-QEZ","OK"
"100-WUO","70","Basico","18.08","34.5","4/21/2022","100-WUO","ERROR EN SISTEMA DE RECOMENDACIONES"
"42-QZV","65","Estandar","30.03","30.8","9/17/2024","42-QZV","OK"
"112-TZW","44","Estandar","33.18","37.1","3/15/2023","112-TZW","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
"5-IYB","46","Basico","17.31","31.9","5/14/2025","5-IYB","Queja sobre atencion al cliente. Problema resuelto en primera instancia."
"40-BIZ","82","Basico","19.25","31.6","3/9/2022","40-BIZ","PROBLEMA DE CONEXION A INTERNET. Se necesita contactar al cliente para mÃ¡s informaciÃ³n."
"92-ACV","0","Estandar","26.44","44.5","4/23/2022","92-ACV","error en la aplicacion movil"
"67-COE","38","Premium","63.36","111.6","4/13/2023","67-COE","OK"
"88-VKT","134","Basico","","25.5","12/16/2022","88-VKT","Consulta tecnica general. Se requiere seguimiento urgente."
"8-NXU","61","Estandar","26.79","83.0","1-Dec-24","8-NXU","OK"
"111-FVD","70","Estandar","35.9","86.5","5/26/2025","111-FVD","Problema con subtÃ­tulos. El cliente reporta intermitencia en el servicio."
"107-CDO","85","Estandar","26.49","37.4","7/8/2021","107-CDO","Solicitud de cancelaciÃ³n de servicio"
"121-AHD","34","Estandar","25.57","92.3","1/12/2024","121-AHD","OK"
"77-IVW","27","Estandar","28.41","51.0","9/19/2021","77-IVW","OK"
"113-FVT","58","estandar","37.31","66.1","12/30/2024","113-FVT","OK"
"49-WFB","37","Basico","","24.4","10/9/2024","49-WFB","Error en sistema de recomendaciones. El cliente reporta intermitencia en el servicio."
"114-EWP","51","Basico","18.93","40.0","1/10/2022","114-EWP","problema con reproducciÃ³n de video. Se requiere seguimiento urgente."
"52-GKA","81","Estandar","25.12","93.8","4/5/2022","52-GKA","PROBLEMA CON REPRODUCCIÃ“N DE VIDEO"
"70-LJJ","47","Basico","16.76","43.0","8/30/2023","70-LJJ","Problema con reproducciÃ³n de video"
"72-HCB","35","Prem","75.83","111.3","11/25/2021","72-HCB","SOLICITUD DE CANCELACIÃ“N DE SERVICIO. Se requiere seguimiento urgente."
"103-RRS","33","Estandar","28.88","59.3","9/17/2023","103-RRS","Queja sobre atencion al cliente. Problema resuelto en primera instancia."
"121-XRN","81","Premium","76.28","101.7","5/5/2025","121-XRN","Solicitud de cancelaciÃ³n de servicio"
"22-FFW","60","Basico","13.71","33.4","16-Apr-23","22-FFW","ERROR EN SISTEMA DE RECOMENDACIONES"
"120-XNW","16","Basico","10.53","44.2","12/2/2025","120-XNW","Consulta sobre contenido disponible"
"46-UMQ","73","Basico","10.04","20.9","8/15/2021","46-UMQ","OK"
"111-QKZ","71","Basico","","18.0","10/18/2023","111-QKZ","Consulta sobre contenido disponible. El cliente reporta intermitencia en el servicio."
"88-ICN","58","Basico","","11.8","4/4/2024","88-ICN","Consulta tecnica general"
"125-JEY","0","premium","56.84","167.3","2/25/2025","125-JEY","problema con reproducciÃ³n de video. Problema resuelto en primera instancia."
"65-UQP","4","Basico","","43.4","8/14/2025","65-UQP","problema con subtÃ­tulos. Problema resuelto en primera instancia."
"2-HRR","95","Basico","11.36","43.2","4/20/2025","2-HRR","QUEJA SOBRE ATENCIÃ“N AL CLIENTE. El cliente reporta intermitencia en el servicio."
"67-VZJ","78","Basico","15.47","46.4","11-Jan-22","67-VZJ","CONSULTA SOBRE CONTENIDO DISPONIBLE. El cliente reporta intermitencia en el servicio."
"126-DCN","44","Estandar","","47.9","8/4/2024","126-DCN","SOLICITUD DE CANCELACIÃ“N DE SERVICIO. Se requiere seguimiento urgente."
